rfq_id,timestamp,bond_name,tenor,coupon,mid_price_cbbt,spread_price_cbbt,best_bid_mts,best_ask_mts,ytm,dv01,tier,side,volume_meur,num_dealers,quoted_price,won,closed_away,cover_price
RFQ_0030,2025-11-03 03:23:56,ESP 15Y,15,3.75,99.4011,0.25591,99.3159,99.5405,3.8031,0.11228,3,1,2.42,7,99.4744,0,1,99.4743
RFQ_0031,2025-11-03 03:35:24,ESP 5Y,5,3.25,99.2892,0.04894,99.2492,99.3394,3.407,0.04507,3,2,7.61,8,99.2828,0,0,
RFQ_0032,2025-11-03 03:56:14,ESP 10Y,10,3.5,99.1579,0.09707,99.0561,99.2207,3.6018,0.08229,1,2,12.01,5,99.1365,0,1,99.1417
RFQ_0033,2025-11-03 04:03:02,ESP 15Y,15,3.75,99.3951,0.14593,99.2772,99.5018,3.8037,0.11228,3,2,2.14,2,99.2884,0,1,99.2974
RFQ_0034,2025-11-03 04:06:06,ESP 15Y,15,3.75,99.4393,0.2674,99.326,99.5506,3.7997,0.11228,2,2,3.74,4,99.3806,0,1,99.3942
RFQ_0035,2025-11-03 04:08:29,ESP 15Y,15,3.75,99.4021,0.15495,99.2693,99.4939,3.803,0.11228,1,2,56.81,3,99.4295,0,0,
RFQ_0036,2025-11-03 04:14:10,ESP 15Y,15,3.75,99.4626,0.22233,99.3383,99.5629,3.7977,0.11228,2,1,49.7,2,99.5162,0,1,99.4853
RFQ_0037,2025-11-03 04:20:33,ESP 2Y,2,2.75,99.533,0.03309,99.5151,99.5533,2.994,0.01906,2,1,3.86,3,99.5383,0,0,
RFQ_0038,2025-11-03 04:21:53,ESP 2Y,2,2.75,99.5173,0.04121,99.4977,99.5359,3.0023,0.01906,3,2,2.53,2,99.5082,0,1,99.5107
RFQ_0039,2025-11-03 04:34:37,ESP 15Y,15,3.75,99.4215,0.14347,99.3225,99.5471,3.8013,0.11228,1,2,26.65,15,99.3942,0,1,99.4034
RFQ_0040,2025-11-03 04:35:40,ESP 5Y,5,3.25,99.3124,0.05323,99.2658,99.356,3.4019,0.04507,1,1,10.21,12,99.3207,0,0,
RFQ_0041,2025-11-03 04:39:32,ESP 30Y,30,4.0,101.6949,0.35423,101.5193,101.8733,3.9031,0.17696,2,1,9.7,4,101.7802,0,0,
RFQ_0042,2025-11-03 04:40:25,ESP 10Y,10,3.5,99.1636,0.14001,99.0925,99.2571,3.6011,0.08229,2,1,9.67,2,99.1646,0,1,99.1527
RFQ_0043,2025-11-03 04:51:27,ESP 15Y,15,3.75,99.4139,0.11611,99.2952,99.5198,3.802,0.11228,3,1,3.03,2,99.505,0,1,99.4891
RFQ_0044,2025-11-03 04:52:49,ESP 5Y,5,3.25,99.3207,0.06674,99.2836,99.3738,3.4,0.04507,2,2,4.84,1,99.2938,1,0,
RFQ_0045,2025-11-03 05:13:58,ESP 30Y,30,4.0,101.6855,0.25347,101.5568,101.9108,3.9037,0.17696,3,1,1.23,2,101.7863,0,0,
RFQ_0046,2025-11-03 05:15:22,ESP 10Y,10,3.5,99.1582,0.09276,99.0682,99.2328,3.6017,0.08229,3,2,4.11,10,99.0895,0,0,
RFQ_0047,2025-11-03 05:26:58,ESP 15Y,15,3.75,99.4141,0.2806,99.3007,99.5253,3.802,0.11228,1,2,61.42,15,99.3925,0,1,99.4172
RFQ_0048,2025-11-03 05:31:37,ESP 30Y,30,4.0,101.7157,0.38509,101.5337,101.8877,3.902,0.17696,2,1,5.62,15,101.8243,0,1,101.8001
RFQ_0049,2025-11-03 05:35:45,ESP 30Y,30,4.0,101.7673,0.23327,101.5341,101.8881,3.899,0.17696,3,2,2.77,5,101.7617,0,1,101.7815
RFQ_0050,2025-11-03 05:40:20,ESP 15Y,15,3.75,99.5341,0.12349,99.4156,99.6402,3.7913,0.11228,1,2,16.11,4,99.5155,0,1,99.5297
RFQ_0051,2025-11-03 05:44:27,ESP 15Y,15,3.75,99.4321,0.21261,99.3376,99.5622,3.8004,0.11228,3,1,1.41,7,99.5213,0,0,
RFQ_0052,2025-11-03 05:44:31,ESP 30Y,30,4.0,101.7798,0.40273,101.5974,101.9514,3.8983,0.17696,1,2,22.13,8,101.8046,0,1,101.8389
RFQ_0053,2025-11-03 05:52:44,ESP 5Y,5,3.25,99.3314,0.10326,99.2868,99.377,3.3977,0.04507,3,1,5.01,8,99.3622,0,1,99.3526
RFQ_0054,2025-11-03 05:54:08,ESP 5Y,5,3.25,99.3213,0.07915,99.2762,99.3664,3.3999,0.04507,2,1,4.78,3,99.3455,0,1,99.3341
RFQ_0055,2025-11-03 05:54:44,ESP 2Y,2,2.75,99.5152,0.04289,99.4969,99.5351,3.0034,0.01906,3,1,4.13,12,99.5263,0,0,
RFQ_0056,2025-11-03 06:07:02,ESP 15Y,15,3.75,99.5186,0.18916,99.4311,99.6557,3.7927,0.11228,3,1,4.1,3,99.638,0,1,99.6218
RFQ_0057,2025-11-03 06:11:23,ESP 30Y,30,4.0,101.6823,0.38954,101.5117,101.8657,3.9038,0.17696,2,2,7.58,12,101.6334,0,0,
RFQ_0058,2025-11-03 06:17:42,ESP 10Y,10,3.5,99.1299,0.12006,99.0505,99.2151,3.6052,0.08229,1,2,12.47,10,99.1214,0,1,99.1352
RFQ_0059,2025-11-03 06:21:33,ESP 15Y,15,3.75,99.3871,0.24377,99.2669,99.4915,3.8044,0.11228,2,1,3.7,2,99.3942,0,1,99.3694
RFQ_0060,2025-11-03 06:27:34,ESP 30Y,30,4.0,101.7595,0.28524,101.5787,101.9327,3.8995,0.17696,2,2,1.85,8,101.7025,0,1,101.7095
RFQ_0061,2025-11-03 06:31:55,ESP 5Y,5,3.25,99.3206,0.065,99.2748,99.365,3.4,0.04507,3,2,1.38,15,99.3014,0,1,99.3059
RFQ_0062,2025-11-03 06:38:07,ESP 15Y,15,3.75,99.3639,0.20167,99.2337,99.4583,3.8064,0.11228,3,2,1.63,5,99.3346,0,1,99.3391
RFQ_0063,2025-11-03 06:39:25,ESP 15Y,15,3.75,99.4801,0.16643,99.3929,99.6175,3.7961,0.11228,3,1,3.23,12,99.5905,0,1,99.5686
RFQ_0064,2025-11-03 06:45:54,ESP 15Y,15,3.75,99.4058,0.27277,99.3,99.5246,3.8027,0.11228,2,1,10.56,15,99.4664,0,0,
RFQ_0065,2025-11-03 06:45:58,ESP 10Y,10,3.5,99.1587,0.1027,99.0769,99.2415,3.6017,0.08229,1,2,9.24,7,99.1694,0,0,
RFQ_0066,2025-11-03 06:54:27,ESP 30Y,30,4.0,101.7651,0.20631,101.5268,101.8808,3.8992,0.17696,3,1,4.91,12,101.8597,0,0,
RFQ_0067,2025-11-03 06:55:28,ESP 15Y,15,3.75,99.4252,0.1467,99.3438,99.5684,3.801,0.11228,1,2,97.35,5,99.4118,0,1,99.4207
RFQ_0068,2025-11-03 06:59:47,ESP 5Y,5,3.25,99.328,0.06186,99.2702,99.3604,3.3984,0.04507,1,2,12.01,12,99.3108,0,1,99.3179
RFQ_0069,2025-11-03 07:02:53,ESP 5Y,5,3.25,99.332,0.05763,99.2841,99.3743,3.3975,0.04507,2,1,3.3,1,99.3506,1,0,
RFQ_0070,2025-11-03 07:07:34,ESP 30Y,30,4.0,101.7656,0.26082,101.5944,101.9484,3.8991,0.17696,3,1,8.8,2,101.8353,0,0,
RFQ_0071,2025-11-03 07:15:24,ESP 2Y,2,2.75,99.5126,0.02741,99.492,99.5302,3.0047,0.01906,2,1,1.92,2,99.5212,0,0,
RFQ_0072,2025-11-03 07:22:29,ESP 5Y,5,3.25,99.3067,0.07624,99.2588,99.349,3.4031,0.04507,2,1,2.17,15,99.3314,0,1,99.3231
RFQ_0073,2025-11-03 07:41:31,ESP 10Y,10,3.5,99.1366,0.15886,99.0697,99.2343,3.6044,0.08229,3,2,1.34,8,99.1011,0,1,99.1066
RFQ_0074,2025-11-03 07:41:39,ESP 10Y,10,3.5,99.2203,0.11014,99.1261,99.2907,3.5942,0.08229,2,2,8.57,7,99.193,0,1,99.2267
RFQ_0075,2025-11-03 07:46:03,ESP 5Y,5,3.25,99.3269,0.07766,99.2929,99.3831,3.3987,0.04507,1,2,18.56,3,99.3268,0,1,99.339
RFQ_0076,2025-11-03 07:50:47,ESP 2Y,2,2.75,99.5207,0.04167,99.5018,99.54,3.0005,0.01906,3,2,1.02,2,99.5087,0,0,
RFQ_0077,2025-11-03 07:52:02,ESP 10Y,10,3.5,99.1779,0.08383,99.0885,99.2531,3.5993,0.08229,2,1,9.48,2,99.2148,0,1,99.1906
RFQ_0078,2025-11-03 07:56:03,ESP 2Y,2,2.75,99.5211,0.04745,99.5046,99.5428,3.0003,0.01906,1,2,16.73,12,99.5196,0,1,99.5232
RFQ_0079,2025-11-03 07:57:49,ESP 15Y,15,3.75,99.4174,0.2281,99.2788,99.5034,3.8017,0.11228,2,2,13.91,1,99.3575,1,0,
RFQ_0080,2025-11-03 07:58:26,ESP 30Y,30,4.0,101.7864,0.26249,101.6353,101.9893,3.898,0.17696,2,2,3.72,4,101.6964,0,0,
RFQ_0081,2025-11-04 00:03:06,ESP 30Y,30,4.0,101.8466,0.35044,101.6881,102.0421,3.8946,0.17696,2,2,1.04,15,101.8178,0,0,
RFQ_0082,2025-11-04 00:08:51,ESP 10Y,10,3.5,99.1671,0.15764,99.0873,99.2519,3.6007,0.08229,3,2,1.74,2,99.1539,0,1,99.17
RFQ_0083,2025-11-04 00:14:18,ESP 30Y,30,4.0,101.8165,0.41846,101.6511,102.0051,3.8963,0.17696,1,1,48.5,8,101.8814,0,0,
RFQ_0084,2025-11-04 00:28:33,ESP 5Y,5,3.25,99.3825,0.05829,99.3311,99.4213,3.3863,0.04507,2,1,5.01,3,99.3996,0,1,99.3968
RFQ_0085,2025-11-04 00:34:05,ESP 30Y,30,4.0,101.8997,0.37246,101.7125,102.0665,3.8916,0.17696,2,1,1.81,10,101.975,0,1,101.9166
RFQ_0086,2025-11-04 00:34:57,ESP 5Y,5,3.25,99.3774,0.05889,99.3252,99.4154,3.3875,0.04507,3,2,2.43,3,99.3549,0,1,99.3589
RFQ_0087,2025-11-04 00:39:40,ESP 15Y,15,3.75,99.592,0.22724,99.4619,99.6865,3.7861,0.11228,2,1,14.49,2,99.6864,0,1,99.6504
RFQ_0088,2025-11-04 00:49:38,ESP 10Y,10,3.5,99.1678,0.15765,99.0795,99.2441,3.6006,0.08229,3,2,1.14,2,99.1565,0,0,
RFQ_0089,2025-11-04 00:50:51,ESP 5Y,5,3.25,99.3586,0.1026,99.2977,99.3879,3.3916,0.04507,2,1,2.78,12,99.3779,0,0,
RFQ_0090,2025-11-04 01:14:45,ESP 10Y,10,3.5,99.148,0.15233,99.0626,99.2272,3.603,0.08229,2,1,14.73,15,99.1871,0,0,
RFQ_0091,2025-11-04 01:30:28,ESP 5Y,5,3.25,99.3414,0.10911,99.2981,99.3883,3.3954,0.04507,3,2,4.76,2,99.3123,0,1,99.3167
RFQ_0092,2025-11-04 01:31:53,ESP 5Y,5,3.25,99.3414,0.10765,99.3035,99.3937,3.3954,0.04507,3,1,1.33,15,99.3908,0,0,
RFQ_0093,2025-11-04 01:40:47,ESP 10Y,10,3.5,99.1352,0.13739,99.0381,99.2027,3.6045,0.08229,3,1,1.92,12,99.1879,0,1,99.1763
RFQ_0094,2025-11-04 01:41:38,ESP 10Y,10,3.5,99.1684,0.19626,99.1056,99.2702,3.6005,0.08229,3,2,7.28,2,99.1172,0,0,
RFQ_0095,2025-11-04 01:55:19,ESP 30Y,30,4.0,101.8497,0.36493,101.6512,102.0052,3.8944,0.17696,2,1,8.52,2,101.9197,0,1,101.9127
RFQ_0096,2025-11-04 02:04:14,ESP 10Y,10,3.5,99.1276,0.13762,99.0523,99.2169,3.6055,0.08229,3,1,7.51,6,99.1988,0,1,99.1903
RFQ_0097,2025-11-04 02:16:42,ESP 15Y,15,3.75,99.6152,0.26877,99.5402,99.7648,3.7841,0.11228,1,1,25.2,6,99.6453,0,0,
RFQ_0098,2025-11-04 02:37:24,ESP 2Y,2,2.75,99.5299,0.02484,99.5113,99.5495,2.9957,0.01906,3,2,2.16,6,99.5143,0,0,
RFQ_0099,2025-11-04 02:39:26,ESP 5Y,5,3.25,99.3379,0.05115,99.2834,99.3736,3.3962,0.04507,1,2,21.93,2,99.337,0,0,
RFQ_0100,2025-11-04 02:44:00,ESP 5Y,5,3.25,99.369,0.04602,99.3275,99.4177,3.3893,0.04507,2,1,1.52,2,99.3875,0,1,99.3845
RFQ_0101,2025-11-04 02:52:20,ESP 5Y,5,3.25,99.3484,0.09407,99.2952,99.3854,3.3939,0.04507,3,2,10.66,4,99.3352,0,0,
RFQ_0102,2025-11-04 02:52:43,ESP 2Y,2,2.75,99.5191,0.03941,99.4985,99.5367,3.0013,0.01906,2,1,4.8,4,99.5281,1,0,
RFQ_0103,2025-11-04 02:59:44,ESP 5Y,5,3.25,99.3643,0.07764,99.3175,99.4077,3.3904,0.04507,3,2,0.43,5,99.346,0,1,99.3553
RFQ_0104,2025-11-04 03:05:26,ESP 10Y,10,3.5,99.1628,0.09337,99.0671,99.2317,3.6012,0.08229,3,1,8.45,15,99.1684,0,1,99.1576
RFQ_0105,2025-11-04 03:12:49,ESP 5Y,5,3.25,99.3336,0.04511,99.2904,99.3806,3.3972,0.04507,3,2,2.39,1,99.3084,1,0,
RFQ_0106,2025-11-04 03:22:26,ESP 2Y,2,2.75,99.5197,0.02558,99.5002,99.5384,3.001,0.01906,1,2,15.24,6,99.5187,0,0,
RFQ_0107,2025-11-04 03:31:43,ESP 10Y,10,3.5,99.1547,0.11681,99.0737,99.2383,3.6022,0.08229,3,1,0.8,8,99.173,0,0,
RFQ_0108,2025-11-04 03:35:30,ESP 10Y,10,3.5,99.1769,0.20452,99.1006,99.2652,3.5995,0.08229,3,2,7.07,15,99.1374,0,0,
RFQ_0109,2025-11-04 03:40:39,ESP 5Y,5,3.25,99.3321,0.05394,99.2946,99.3848,3.3975,0.04507,3,2,2.68,12,99.317,0,1,99.3263
RFQ_0110,2025-11-04 03:47:50,ESP 10Y,10,3.5,99.1279,0.15192,99.0357,99.2003,3.6054,0.08229,1,1,15.11,3,99.1437,0,1,99.1335
RFQ_0111,2025-11-04 03:49:10,ESP 30Y,30,4.0,101.7782,0.2749,101.6206,101.9746,3.8984,0.17696,2,1,20.8,15,101.9058,0,1,101.8934
RFQ_0112,2025-11-04 03:55:07,ESP 10Y,10,3.5,99.1577,0.18798,99.0765,99.2411,3.6018,0.08229,2,2,4.14,8,99.1172,0,0,
RFQ_0113,2025-11-04 03:57:24,ESP 5Y,5,3.25,99.3946,0.09558,99.3499,99.4401,3.3836,0.04507,3,2,1.97,7,99.3794,0,1,99.3848
RFQ_0114,2025-11-04 04:02:03,ESP 10Y,10,3.5,99.1826,0.12787,99.0795,99.2441,3.5988,0.08229,3,2,2.41,6,99.1511,0,0,
RFQ_0115,2025-11-04 04:03:41,ESP 15Y,15,3.75,99.5682,0.21821,99.443,99.6676,3.7883,0.11228,3,2,3.54,12,99.4733,0,1,99.478
RFQ_0116,2025-11-04 04:09:04,ESP 15Y,15,3.75,99.5946,0.17885,99.455,99.6796,3.7859,0.11228,2,1,5.13,3,99.6078,0,0,
RFQ_0117,2025-11-04 04:17:50,ESP 5Y,5,3.25,99.3434,0.07001,99.2985,99.3887,3.395,0.04507,2,1,7.47,3,99.3541,0,1,99.3446
RFQ_0118,2025-11-04 04:24:09,ESP 2Y,2,2.75,99.511,0.03661,99.4832,99.5214,3.0056,0.01906,2,2,2.29,2,99.4995,0,1,99.5001
RFQ_0119,2025-11-04 04:30:59,ESP 5Y,5,3.25,99.3425,0.06288,99.3036,99.3938,3.3952,0.04507,2,2,2.45,6,99.3185,0,1,99.3287
RFQ_0120,2025-11-04 04:31:52,ESP 10Y,10,3.5,99.2212,0.16999,99.1338,99.2984,3.5941,0.08229,1,2,18.08,6,99.214,0,1,99.2294
RFQ_0121,2025-11-04 04:35:37,ESP 30Y,30,4.0,101.8214,0.31511,101.605,101.959,3.896,0.17696,3,1,2.96,8,101.9554,0,1,101.931
RFQ_0122,2025-11-04 04:37:34,ESP 10Y,10,3.5,99.1405,0.11406,99.0579,99.2225,3.6039,0.08229,1,1,29.37,7,99.1499,0,0,
RFQ_0123,2025-11-04 04:37:54,ESP 2Y,2,2.75,99.5243,0.03851,99.5062,99.5444,2.9986,0.01906,1,2,3.28,12,99.5222,0,0,
RFQ_0124,2025-11-04 04:38:12,ESP 10Y,10,3.5,99.1808,0.11566,99.0931,99.2577,3.599,0.08229,3,2,5.43,6,99.1368,0,0,
RFQ_0125,2025-11-04 04:39:13,ESP 2Y,2,2.75,99.5337,0.0235,99.5106,99.5488,2.9937,0.01906,2,1,16.76,2,99.5419,0,1,99.5386
RFQ_0126,2025-11-04 04:49:09,ESP 30Y,30,4.0,101.7898,0.2502,101.6232,101.9772,3.8978,0.17696,1,1,31.2,3,101.8092,0,1,101.7728
RFQ_0127,2025-11-04 04:56:32,ESP 30Y,30,4.0,101.8991,0.26931,101.6995,102.0535,3.8916,0.17696,2,1,7.56,15,101.9625,0,1,101.9521
RFQ_0128,2025-11-04 04:57:27,ESP 30Y,30,4.0,101.7607,0.31729,101.5539,101.9079,3.8994,0.17696,3,1,0.55,6,101.9078,0,1,101.8759
RFQ_0129,2025-11-04 05:00:47,ESP 5Y,5,3.25,99.3519,0.07294,99.3074,99.3976,3.3931,0.04507,2,2,7.63,6,99.3515,0,1,99.359
RFQ_0130,2025-11-04 05:02:06,ESP 30Y,30,4.0,101.9127,0.41317,101.758,102.112,3.8908,0.17696,2,1,6.11,7,101.9551,0,1,101.9414
RFQ_0131,2025-11-04 05:10:00,ESP 10Y,10,3.5,99.1552,0.17027,99.0665,99.2311,3.6021,0.08229,2,1,3.84,2,99.1817,0,1,99.1638
RFQ_0132,2025-11-04 05:46:20,ESP 2Y,2,2.75,99.5284,0.02645,99.5114,99.5496,2.9965,0.01906,1,2,34.5,12,99.5288,0,1,99.5299
RFQ_0133,2025-11-04 05:49:37,ESP 10Y,10,3.5,99.1607,0.1474,99.0602,99.2248,3.6014,0.08229,3,2,4.73,4,99.102,0,1,99.1086
RFQ_0134,2025-11-04 05:49:40,ESP 2Y,2,2.75,99.5274,0.03992,99.5053,99.5435,2.997,0.01906,3,1,6.19,6,99.5423,0,0,
RFQ_0135,2025-11-04 05:59:51,ESP 5Y,5,3.25,99.3373,0.09551,99.2934,99.3836,3.3963,0.04507,2,2,49.39,10,99.3174,0,1,99.3211
RFQ_0136,2025-11-04 06:15:27,ESP 15Y,15,3.75,99.6422,0.18777,99.5204,99.745,3.7817,0.11228,2,1,6.24,3,99.6398,0,1,99.6222
RFQ_0137,2025-11-04 06:19:53,ESP 10Y,10,3.5,99.1901,0.08424,99.0815,99.2461,3.5979,0.08229,2,1,16.2,7,99.246,0,0,
RFQ_0138,2025-11-04 06:24:59,ESP 10Y,10,3.5,99.1686,0.15447,99.0866,99.2512,3.6005,0.08229,2,1,20.52,2,99.2292,0,1,99.2202
RFQ_0139,2025-11-04 06:25:22,ESP 10Y,10,3.5,99.1628,0.18183,99.0912,99.2558,3.6012,0.08229,3,1,3.6,15,99.2057,0,0,
RFQ_0140,2025-11-04 06:33:30,ESP 10Y,10,3.5,99.1798,0.08774,99.104,99.2686,3.5991,0.08229,2,2,11.62,7,99.1654,0,0,
RFQ_0141,2025-11-04 06:36:29,ESP 10Y,10,3.5,99.2075,0.13778,99.1284,99.293,3.5958,0.08229,2,2,1.2,10,99.1764,0,0,
RFQ_0142,2025-11-04 06:42:18,ESP 5Y,5,3.25,99.3593,0.05656,99.3164,99.4066,3.3915,0.04507,2,1,64.28,15,99.3708,0,0,
RFQ_0143,2025-11-04 06:51:04,ESP 2Y,2,2.75,99.5295,0.02786,99.513,99.5512,2.9959,0.01906,3,2,2.02,4,99.5132,0,1,99.5162
RFQ_0144,2025-11-04 06:54:01,ESP 15Y,15,3.75,99.5672,0.27664,99.4617,99.6863,3.7884,0.11228,3,1,4.43,10,99.654,0,1,99.6407
RFQ_0145,2025-11-04 06:54:14,ESP 30Y,30,4.0,101.7573,0.2397,101.5717,101.9257,3.8996,0.17696,1,1,37.53,3,101.7923,0,0,
RFQ_0146,2025-11-04 06:57:18,ESP 5Y,5,3.25,99.3625,0.04961,99.3215,99.4117,3.3908,0.04507,3,1,0.82,8,99.3744,0,1,99.3586
RFQ_0147,2025-11-04 07:10:49,ESP 5Y,5,3.25,99.3658,0.07431,99.3209,99.4111,3.39,0.04507,3,2,1.09,5,99.3339,0,1,99.346
RFQ_0148,2025-11-04 07:13:52,ESP 10Y,10,3.5,99.1543,0.15555,99.0684,99.233,3.6022,0.08229,2,1,2.49,5,99.1962,0,0,
RFQ_0149,2025-11-04 07:15:39,ESP 15Y,15,3.75,99.6279,0.15845,99.5149,99.7395,3.783,0.11228,1,2,276.67,5,99.6112,0,1,99.6366
RFQ_0150,2025-11-04 07:22:14,ESP 10Y,10,3.5,99.1801,0.15174,99.0972,99.2618,3.5991,0.08229,2,2,12.43,15,99.1219,0,0,
RFQ_0151,2025-11-04 07:22:25,ESP 10Y,10,3.5,99.1832,0.1714,99.1101,99.2747,3.5987,0.08229,3,1,0.96,2,99.2391,0,1,99.2175
RFQ_0152,2025-11-04 07:23:06,ESP 30Y,30,4.0,101.7626,0.23745,101.5865,101.9405,3.8993,0.17696,2,1,4.42,4,101.8228,1,0,
RFQ_0153,2025-11-04 07:24:48,ESP 5Y,5,3.25,99.3394,0.11182,99.2917,99.3819,3.3959,0.04507,1,2,9.17,4,99.3345,0,0,
RFQ_0154,2025-11-04 07:27:44,ESP 10Y,10,3.5,99.122,0.13796,99.0584,99.223,3.6061,0.08229,2,2,4.47,7,99.0897,0,0,
RFQ_0155,2025-11-04 07:29:44,ESP 30Y,30,4.0,101.9548,0.18768,101.7584,102.1124,3.8885,0.17696,2,2,11.59,1,101.8715,1,0,
RFQ_0156,2025-11-04 07:35:39,ESP 10Y,10,3.5,99.1265,0.16639,99.0352,99.1998,3.6056,0.08229,1,2,14.11,3,99.1284,0,1,99.1312
RFQ_0157,2025-11-04 07:47:29,ESP 5Y,5,3.25,99.3389,0.11119,99.2983,99.3885,3.396,0.04507,1,1,23.18,15,99.3389,0,1,99.3357
RFQ_0158,2025-11-04 07:52:49,ESP 30Y,30,4.0,101.8718,0.2484,101.6651,102.0191,3.8932,0.17696,2,2,8.81,6,101.7487,0,1,101.7908
RFQ_0159,2025-11-04 07:53:34,ESP 2Y,2,2.75,99.529,0.04409,99.5107,99.5489,2.9961,0.01906,3,1,3.3,15,99.5413,0,1,99.5398
